WARNING: System properties and/or JVM args set.  Consider using --dry-run or --exec
0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
25   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /opt/solr/solr-4.10.2/hdp/contexts at interval 0
29   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /opt/solr/solr-4.10.2/hdp/contexts/banana-context.xml
120  [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/opt/solr/solr-4.10.2/hdp/webapps/banana.war!/ to /opt/banana/latest/banana-webapp/webapp
313  [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /banana, did not find org.apache.jasper.servlet.JspServlet
343  [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /opt/solr/solr-4.10.2/hdp/contexts/solr-jetty-context.xml
1331 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
27953 [qtp631383787-17] INFO  org.apache.solr.servlet.SolrDispatchFilter  – [admin] webapp=null path=/admin/cores params={omitHeader=true&action=STATUS&wt=json} status=0 QTime=0 
29395 [qtp631383787-13] INFO  org.apache.solr.handler.admin.CoreAdminHandler  – core create command instanceDir=/opt/solr/latest/hdp/solr/tweets&name=tweets&action=CREATE
29400 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/opt/solr/latest/hdp/solr/tweets/'
29472 [qtp631383787-13] INFO  org.apache.solr.core.SolrConfig  – Adding specified lib dirs to ClassLoader
29474 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
29475 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
29475 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
29475 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
29475 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/rome-0.9.jar' to classloader
29476 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/xz-1.4.jar' to classloader
29476 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
29476 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
29476 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
29476 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/poi-3.10.1.jar' to classloader
29477 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
29477 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
29477 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
29477 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
29477 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
29477 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
29478 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
29478 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
29478 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
29478 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
29478 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/icu4j-53.1.jar' to classloader
29478 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
29479 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
29479 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
29479 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
29479 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/tika-core-1.5.jar' to classloader
29479 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
29480 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/jdom-1.0.jar' to classloader
29480 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
29480 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
29480 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
29480 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
29482 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/dist/solr-cell-4.10.2.jar' to classloader
29483 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
29483 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
29483 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
29484 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
29484 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
29484 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
29485 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
29485 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
29486 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/dist/solr-clustering-4.10.2.jar' to classloader
